	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	2.5	2.0	2.0	2.1666666666666665
clmb	4.0	5.0	7.5	5.5
Comebin	1.0	1.0	7.5	3.1666666666666665
concoct	10.0	10.0	9.5	9.833333333333334
maxbin2.2.7	9.0	9.0	4.0	7.333333333333333
metabat2.15	7.0	8.0	6.0	7.0
Metabinner	2.5	3.0	1.0	2.1666666666666665
Metadecoder	8.0	7.0	9.5	8.166666666666666
Semibin2	6.0	6.0	3.0	5.0
vamb	5.0	4.0	5.0	4.666666666666667
