	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	3.0	1.0	2.0	2.0
clmb	7.0	8.0	8.5	7.833333333333333
Comebin	1.0	2.0	5.0	2.6666666666666665
concoct	10.0	10.0	10.0	10.0
maxbin2.2.7	9.0	9.0	1.0	6.333333333333333
metabat2.15	5.0	3.0	5.0	4.333333333333333
Metabinner	2.0	6.0	3.0	3.6666666666666665
Metadecoder	6.0	5.0	5.0	5.333333333333333
Semibin2	4.0	4.0	7.0	5.0
vamb	8.0	7.0	8.5	7.833333333333333
