	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	6.0	6.0	4.5	5.5
clmb	3.0	1.0	1.0	1.6666666666666667
metabat2.15	1.0	3.0	4.5	2.8333333333333335
Metadecoder	5.0	5.0	6.0	5.333333333333333
Semibin2	2.0	4.0	2.5	2.8333333333333335
vamb	4.0	2.0	2.5	2.8333333333333335
