	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	3.5	1.5	4.0	3.0
clmb	10.0	6.0	9.0	8.333333333333334
Comebin	5.0	6.0	6.5	5.833333333333333
concoct	6.0	6.0	6.5	6.166666666666667
maxbin2.2.7	9.0	10.0	1.5	6.833333333333333
metabat2.15	3.5	3.5	4.0	3.6666666666666665
Metabinner	1.0	3.5	1.5	2.0
Metadecoder	8.0	9.0	9.0	8.666666666666666
Semibin2	2.0	1.5	4.0	2.5
vamb	7.0	8.0	9.0	8.0
