"bin"	"uniqueSCGs.gtdb_rel207_bac120"	"multipleSCGs.gtdb_rel207_bac120"	"sumSCGs.gtdb_rel207_bac120"	"Completeness.gtdb_rel207_bac120"	"additionalSCGs.gtdb_rel207_bac120"	"Contamination.gtdb_rel207_bac120"	"score.gtdb_rel207_bac120"	"uniqueSCGs.gtdb_rel207_ar53"	"multipleSCGs.gtdb_rel207_ar53"	"sumSCGs.gtdb_rel207_ar53"	"Completeness.gtdb_rel207_ar53"	"additionalSCGs.gtdb_rel207_ar53"	"Contamination.gtdb_rel207_ar53"	"score.gtdb_rel207_ar53"	"max"	"max_complete"	"set"
"example_vamb_bin_543"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"vamb"
"example_concoct_bin_4.fasta"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"concoct"
"MAGScoT_1_24"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_1"
"MAGScoT_1_25"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_1"
"MAGScoT_1_57"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_1"
"MAGScoT_2_19"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_20"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_28"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_30"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_33"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_50"	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	"MAGScoT_2"
"example.maxbin2.004.fasta"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.97909604519774	0.983333333333333	"maxbin2"
"MAGScoT_1_2"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.97909604519774	0.983333333333333	"MAGScoT_1"
"MAGScoT_1_3"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.97909604519774	0.983333333333333	"MAGScoT_1"
"MAGScoT_1_4"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.97909604519774	0.983333333333333	"MAGScoT_1"
"MAGScoT_2_27"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.97909604519774	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_29"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.97909604519774	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_77"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.97909604519774	0.983333333333333	"MAGScoT_2"
"example_vamb_bin_1529"	118	2	120	0.983333333333333	0	0.00847457627118644	0.974858757062147	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.974858757062147	0.983333333333333	"vamb"
"MAGScoT_1_53"	118	2	120	0.983333333333333	0	0.00847457627118644	0.974858757062147	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.974858757062147	0.983333333333333	"MAGScoT_1"
"MAGScoT_2_6"	118	2	120	0.983333333333333	0	0.00847457627118644	0.974858757062147	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.974858757062147	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_8"	118	2	120	0.983333333333333	0	0.00847457627118644	0.974858757062147	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.974858757062147	0.983333333333333	"MAGScoT_2"
"MAGScoT_2_24"	118	2	120	0.983333333333333	0	0.00847457627118644	0.974858757062147	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.974858757062147	0.983333333333333	"MAGScoT_2"
"MAGScoT_1_22"	118	3	121	0.983333333333333	0	0.0127118644067797	0.970621468926554	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.970621468926554	0.983333333333333	"MAGScoT_1"
"MAGScoT_1_23"	118	3	121	0.983333333333333	0	0.0127118644067797	0.970621468926554	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.970621468926554	0.983333333333333	"MAGScoT_1"
"example_concoct_bin_22.fasta"	117	2	119	0.975	0	0.00854700854700855	0.966452991452991	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.966452991452991	0.975	"concoct"
"MAGScoT_2_5"	117	2	119	0.975	0	0.00854700854700855	0.966452991452991	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.966452991452991	0.975	"MAGScoT_2"
"MAGScoT_2_10"	117	2	119	0.975	0	0.00854700854700855	0.966452991452991	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.966452991452991	0.975	"MAGScoT_2"
"MAGScoT_2_26"	117	2	119	0.975	0	0.00854700854700855	0.966452991452991	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.966452991452991	0.975	"MAGScoT_2"
"MAGScoT_1_72"	119	6	126	0.991666666666667	1	0.0293767507002801	0.962289915966387	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.962289915966387	0.991666666666667	"MAGScoT_1"
"example_vamb_bin_549"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"vamb"
"example.metabat2.16.fasta"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"metabat2"
"example_concoct_bin_28.fasta"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"concoct"
"MAGScoT_1_34"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_1"
"MAGScoT_1_35"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_1"
"MAGScoT_1_55"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_1"
"MAGScoT_2_1"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_2"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_3"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_4"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_41"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_43"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_76"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_92"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_93"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	"MAGScoT_2"
"example_concoct_bin_32.fasta"	119	7	128	0.991666666666667	2	0.0377450980392157	0.953921568627451	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953921568627451	0.991666666666667	"concoct"
"MAGScoT_1_73"	119	7	128	0.991666666666667	2	0.0377450980392157	0.953921568627451	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953921568627451	0.991666666666667	"MAGScoT_1"
"MAGScoT_2_85"	119	7	128	0.991666666666667	2	0.0377450980392157	0.953921568627451	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953921568627451	0.991666666666667	"MAGScoT_2"
"example.metabat2.11.fasta"	113	0	113	0.941666666666667	0	0	0.941666666666667	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.941666666666667	0.941666666666667	"metabat2"
"MAGScoT_2_32"	113	0	113	0.941666666666667	0	0	0.941666666666667	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.941666666666667	0.941666666666667	"MAGScoT_2"
"MAGScoT_2_49"	113	0	113	0.941666666666667	0	0	0.941666666666667	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.941666666666667	0.941666666666667	"MAGScoT_2"
"MAGScoT_2_78"	113	0	113	0.941666666666667	0	0	0.941666666666667	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.941666666666667	0.941666666666667	"MAGScoT_2"
"MAGScoT_1_27"	119	9	131	0.991666666666667	3	0.0503151260504202	0.941351540616246	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.941351540616246	0.991666666666667	"MAGScoT_1"
"example_concoct_bin_42.fasta"	119	11	131	0.991666666666667	1	0.0503851540616247	0.941281512605042	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.941281512605042	0.991666666666667	"concoct"
"MAGScoT_1_75"	119	11	131	0.991666666666667	1	0.0503851540616247	0.941281512605042	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.941281512605042	0.991666666666667	"MAGScoT_1"
"MAGScoT_2_36"	119	11	131	0.991666666666667	1	0.0503851540616247	0.941281512605042	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.941281512605042	0.991666666666667	"MAGScoT_2"
"MAGScoT_2_39"	119	11	131	0.991666666666667	1	0.0503851540616247	0.941281512605042	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.941281512605042	0.991666666666667	"MAGScoT_2"
"MAGScoT_2_88"	119	11	131	0.991666666666667	1	0.0503851540616247	0.941281512605042	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.941281512605042	0.991666666666667	"MAGScoT_2"
"MAGScoT_1_32"	119	13	133	0.991666666666667	1	0.0587885154061625	0.932878151260504	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.932878151260504	0.991666666666667	"MAGScoT_1"
"MAGScoT_1_42"	112	1	113	0.933333333333333	0	0.00446428571428571	0.928869047619048	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.928869047619048	0.933333333333333	"MAGScoT_1"
"example.maxbin2.009.fasta"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.927898550724638	0.958333333333333	"maxbin2"
"MAGScoT_1_9"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.927898550724638	0.958333333333333	"MAGScoT_1"
"MAGScoT_1_10"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.927898550724638	0.958333333333333	"MAGScoT_1"
"MAGScoT_1_11"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.927898550724638	0.958333333333333	"MAGScoT_1"
"MAGScoT_2_40"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.927898550724638	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_42"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.927898550724638	0.958333333333333	"MAGScoT_2"
"MAGScoT_2_75"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.927898550724638	0.958333333333333	"MAGScoT_2"
"example.maxbin2.003.fasta"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.924474789915966	0.991666666666667	"maxbin2"
"MAGScoT_1_31"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.924474789915966	0.991666666666667	"MAGScoT_1"
"MAGScoT_1_74"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.924474789915966	0.991666666666667	"MAGScoT_1"
"MAGScoT_2_37"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.924474789915966	0.991666666666667	"MAGScoT_2"
"MAGScoT_2_38"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.924474789915966	0.991666666666667	"MAGScoT_2"
"MAGScoT_2_89"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.924474789915966	0.991666666666667	"MAGScoT_2"
"example_concoct_bin_46.fasta"	111	1	112	0.925	0	0.0045045045045045	0.920495495495496	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.920495495495496	0.925	"concoct"
"MAGScoT_1_68"	111	1	112	0.925	0	0.0045045045045045	0.920495495495496	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.920495495495496	0.925	"MAGScoT_1"
"MAGScoT_2_81"	111	1	112	0.925	0	0.0045045045045045	0.920495495495496	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.920495495495496	0.925	"MAGScoT_2"
"example_concoct_bin_1.fasta"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.919940476190476	0.933333333333333	"concoct"
"MAGScoT_1_49"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.919940476190476	0.933333333333333	"MAGScoT_1"
"MAGScoT_1_51"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.919940476190476	0.933333333333333	"MAGScoT_1"
"MAGScoT_2_13"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.919940476190476	0.933333333333333	"MAGScoT_2"
"MAGScoT_2_18"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.919940476190476	0.933333333333333	"MAGScoT_2"
"MAGScoT_2_69"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.919940476190476	0.933333333333333	"MAGScoT_2"
"MAGScoT_1_1"	119	17	137	0.991666666666667	1	0.0755952380952381	0.916071428571429	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.916071428571429	0.991666666666667	"MAGScoT_1"
"MAGScoT_1_50"	111	3	114	0.925	0	0.0135135135135135	0.911486486486487	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.911486486486487	0.925	"MAGScoT_1"
"example.metabat2.12.fasta"	113	6	120	0.941666666666667	1	0.0307153392330383	0.910951327433628	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.910951327433628	0.941666666666667	"metabat2"
"MAGScoT_2_87"	113	6	120	0.941666666666667	1	0.0307153392330383	0.910951327433628	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.910951327433628	0.941666666666667	"MAGScoT_2"
"example_concoct_bin_25.fasta"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"concoct"
"MAGScoT_1_39"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_1"
"MAGScoT_1_44"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_1"
"MAGScoT_1_54"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_1"
"MAGScoT_2_22"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_2"
"MAGScoT_2_45"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_2"
"MAGScoT_2_52"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_2"
"MAGScoT_2_54"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_2"
"MAGScoT_2_59"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	"MAGScoT_2"
"example.metabat2.24.fasta"	108	1	109	0.9	0	0.00462962962962963	0.89537037037037	3	0	3	0.0566037735849057	0	0	0.0566037735849057	0.89537037037037	0.9	"metabat2"
"MAGScoT_1_67"	108	1	109	0.9	0	0.00462962962962963	0.89537037037037	3	0	3	0.0566037735849057	0	0	0.0566037735849057	0.89537037037037	0.9	"MAGScoT_1"
"MAGScoT_2_83"	108	1	109	0.9	0	0.00462962962962963	0.89537037037037	3	0	3	0.0566037735849057	0	0	0.0566037735849057	0.89537037037037	0.9	"MAGScoT_2"
"example_vamb_bin_1506"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"vamb"
"example.metabat2.6.fasta"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"metabat2"
"MAGScoT_2_14"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"MAGScoT_2"
"MAGScoT_2_15"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"MAGScoT_2"
"MAGScoT_2_16"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"MAGScoT_2"
"MAGScoT_2_17"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"MAGScoT_2"
"MAGScoT_2_67"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"MAGScoT_2"
"MAGScoT_2_71"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.894571865443425	0.908333333333333	"MAGScoT_2"
"example.metabat2.10.fasta"	108	3	111	0.9	0	0.0138888888888889	0.886111111111111	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.886111111111111	0.9	"metabat2"
"MAGScoT_2_7"	108	3	111	0.9	0	0.0138888888888889	0.886111111111111	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.886111111111111	0.9	"MAGScoT_2"
"MAGScoT_2_9"	108	3	111	0.9	0	0.0138888888888889	0.886111111111111	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.886111111111111	0.9	"MAGScoT_2"
"MAGScoT_2_73"	108	3	111	0.9	0	0.0138888888888889	0.886111111111111	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.886111111111111	0.9	"MAGScoT_2"
"example_vamb_bin_131"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"vamb"
"MAGScoT_1_40"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"MAGScoT_1"
"MAGScoT_1_45"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"MAGScoT_1"
"MAGScoT_2_21"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"MAGScoT_2"
"MAGScoT_2_46"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"MAGScoT_2"
"MAGScoT_2_48"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"MAGScoT_2"
"MAGScoT_2_55"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"MAGScoT_2"
"MAGScoT_2_57"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.877647975077882	0.891666666666667	"MAGScoT_2"
"example.maxbin2.015.fasta"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.866369047619048	0.933333333333333	"maxbin2"
"MAGScoT_1_17"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.866369047619048	0.933333333333333	"MAGScoT_1"
"MAGScoT_1_18"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.866369047619048	0.933333333333333	"MAGScoT_1"
"MAGScoT_1_19"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.866369047619048	0.933333333333333	"MAGScoT_1"
"MAGScoT_2_66"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.866369047619048	0.933333333333333	"MAGScoT_2"
"MAGScoT_2_68"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.866369047619048	0.933333333333333	"MAGScoT_2"
"MAGScoT_2_70"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.866369047619048	0.933333333333333	"MAGScoT_2"
"MAGScoT_1_13"	118	27	147	0.983333333333333	2	0.12274011299435	0.860593220338983	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.860593220338983	0.983333333333333	"MAGScoT_1"
"MAGScoT_1_14"	118	27	147	0.983333333333333	2	0.12274011299435	0.860593220338983	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056	0.860593220338983	0.983333333333333	"MAGScoT_1"
"example.maxbin2.005.fasta"	119	32	156	0.991666666666667	5	0.155287114845938	0.836379551820728	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792	0.836379551820728	0.991666666666667	"maxbin2"
"MAGScoT_1_71"	119	32	156	0.991666666666667	5	0.155287114845938	0.836379551820728	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792	0.836379551820728	0.991666666666667	"MAGScoT_1"
"MAGScoT_2_31"	119	32	156	0.991666666666667	5	0.155287114845938	0.836379551820728	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792	0.836379551820728	0.991666666666667	"MAGScoT_2"
